Id,Jurusan,Semester,Forum_Diskusi,Video_Interaktif,Kuis_Otomatis,Feedback_Dosen,Reminder_Jadwal,Download_Materi,Live_Chat,AI_Pembantu,Gamifikasi,Quiz_Bersertifikat,Simulasi,Pembelajaran_Adaptif
1,Kimia,8,1,0,1,0,0,1,1,1,0,0,0,0
2,Biologi,3,1,1,1,1,0,1,1,1,1,0,0,0
3,Statistika,5,1,1,0,1,1,0,0,0,0,1,0,1
4,Biologi,6,1,1,1,0,1,0,1,0,1,1,0,0
5,Biologi,1,1,0,1,0,1,1,1,1,0,1,1,0
6,Fisika,5,1,0,1,1,1,1,0,1,0,0,1,0
7,Statistika,6,1,0,0,0,0,1,1,1,1,1,0,1
8,Statistika,4,0,1,1,0,1,0,1,1,1,0,1,1
9,Statistika,5,0,0,0,0,0,1,1,1,1,1,0,1
10,Biologi,7,0,1,0,0,1,1,0,1,1,1,0,1
11,Kimia,1,1,0,0,1,1,1,0,1,1,0,0,0
12,Statistika,6,1,1,0,1,1,1,1,1,1,0,1,0
13,Biologi,6,0,1,1,1,1,1,0,1,1,0,0,1
14,Fisika,6,1,1,1,0,0,1,1,0,0,1,0,0
15,Kimia,4,1,0,1,0,0,0,1,0,0,1,0,1
16,Fisika,5,0,0,0,0,1,0,0,1,0,1,1,1
17,Kimia,4,0,0,0,0,0,0,1,0,1,0,0,1
18,Biologi,8,1,1,0,0,0,0,1,0,0,0,1,1
19,Matematika,2,1,1,1,1,0,0,0,0,0,1,1,1
20,Kimia,2,1,1,0,0,1,0,1,0,1,1,1,1
21,Fisika,8,1,1,1,1,0,0,1,0,1,0,1,0
22,Biologi,5,1,1,1,0,0,0,1,0,1,0,0,0
23,Kimia,7,1,0,0,0,1,1,1,1,0,1,0,0
24,Matematika,4,1,1,1,0,1,1,0,1,1,0,1,1
25,Matematika,1,1,0,0,1,0,0,1,0,0,0,0,0
26,Statistika,6,0,0,1,1,0,1,1,0,0,0,1,1
27,Statistika,6,0,1,1,1,0,1,1,1,0,1,1,0
28,Fisika,5,0,0,0,0,0,0,1,0,0,1,1,1
29,Kimia,7,1,0,0,0,0,0,0,1,0,1,1,0
30,Kimia,2,1,1,1,1,1,1,1,1,1,1,1,1
31,Statistika,2,1,0,1,0,1,1,0,1,0,1,1,1
32,Kimia,6,0,1,0,1,1,1,0,0,1,0,0,0
33,Kimia,5,0,0,1,0,0,0,0,1,1,1,1,0
34,Matematika,4,0,0,1,0,1,0,1,0,0,0,0,1
35,Statistika,2,0,0,1,0,0,0,1,1,0,1,0,0
36,Biologi,4,1,0,0,0,1,0,1,1,0,0,1,0
37,Statistika,7,0,1,1,1,1,0,1,0,1,0,0,1
38,Biologi,2,0,0,1,0,0,0,1,0,0,0,0,1
39,Matematika,2,1,1,0,0,1,1,1,0,0,0,0,1
40,Fisika,3,0,0,0,0,0,1,0,1,0,0,1,0
41,Kimia,2,1,1,1,0,1,0,0,0,1,0,1,0
42,Matematika,8,1,1,0,1,0,1,0,1,1,1,1,1
43,Kimia,1,0,1,1,1,0,0,1,0,0,0,0,1
44,Fisika,8,1,0,0,1,1,0,1,1,1,1,1,1
45,Fisika,5,1,0,0,1,0,0,0,1,1,1,1,0
46,Matematika,5,1,0,1,0,1,1,0,1,1,1,0,0
47,Fisika,4,0,1,0,1,0,1,1,1,1,1,0,0
48,Biologi,8,1,0,1,0,1,1,0,0,1,1,0,0
49,Fisika,8,0,0,0,0,1,0,1,0,1,0,1,0
50,Kimia,8,0,1,1,1,1,1,1,1,1,0,1,0
51,Kimia,7,0,0,0,0,0,0,0,0,0,0,1,1
52,Kimia,2,1,1,0,1,0,1,0,0,0,1,0,0
53,Kimia,1,0,0,1,0,0,1,1,0,0,1,1,1
54,Biologi,4,0,0,0,1,0,0,1,0,1,0,1,1
55,Statistika,8,1,1,1,1,1,1,1,0,1,0,1,1
56,Matematika,8,0,0,0,1,1,1,1,1,0,1,1,0
57,Kimia,3,0,1,1,1,1,0,0,0,1,0,0,1
58,Fisika,4,0,0,0,1,1,1,1,1,0,1,0,1
59,Kimia,8,0,0,1,0,1,0,1,0,0,1,1,1
60,Fisika,4,0,1,0,1,1,1,1,1,1,1,1,1
61,Fisika,2,0,1,0,0,0,1,0,0,0,1,1,1
62,Kimia,3,1,1,0,1,1,1,1,1,0,1,0,1
63,Biologi,4,0,0,0,1,1,1,1,1,1,0,1,0
64,Fisika,1,0,1,1,1,1,1,0,0,1,1,0,1
65,Fisika,1,1,0,0,0,0,0,0,1,0,1,0,0
66,Kimia,5,0,0,1,0,0,1,1,1,1,0,1,1
67,Fisika,3,1,1,0,1,0,0,0,1,1,0,1,0
68,Fisika,3,0,0,0,0,1,0,0,1,0,0,0,0
69,Kimia,5,0,1,1,0,1,0,0,0,0,0,0,1
70,Kimia,4,0,0,1,0,0,0,1,1,1,1,0,1
71,Matematika,3,0,0,0,1,1,1,1,0,0,1,0,0
72,Biologi,1,0,1,0,1,0,0,1,0,1,0,1,0
73,Biologi,1,0,1,0,0,0,1,0,1,1,0,1,1
74,Fisika,8,0,1,1,0,0,0,1,0,1,1,0,0
75,Biologi,2,0,1,1,0,1,0,1,1,0,0,1,1
76,Fisika,3,0,1,0,1,1,1,1,1,1,0,1,0
77,Matematika,4,0,1,1,1,0,0,1,1,0,1,1,1
78,Kimia,5,0,1,1,0,1,0,0,1,0,1,0,1
79,Kimia,5,1,0,1,0,0,1,1,0,0,0,1,0
80,Kimia,4,1,0,1,0,1,0,0,0,0,0,0,0
81,Biologi,7,0,0,0,1,1,1,1,0,1,0,0,0
82,Matematika,6,1,1,0,1,1,0,0,0,0,1,0,1
83,Biologi,2,1,1,0,0,0,0,0,0,0,1,0,1
84,Biologi,5,0,0,0,0,1,1,0,0,1,0,0,1
85,Matematika,3,1,1,1,0,1,0,1,1,0,1,0,0
86,Matematika,2,1,1,1,1,0,0,0,1,1,1,0,0
87,Matematika,3,0,0,0,0,1,0,1,0,0,0,1,0
88,Matematika,7,0,1,0,1,0,0,0,1,1,0,1,0
89,Kimia,1,1,1,0,1,1,1,0,0,1,1,0,1
90,Statistika,2,1,0,1,0,0,0,1,0,0,0,1,1
91,Statistika,8,0,1,0,0,1,1,0,1,0,0,1,1
92,Matematika,5,0,0,1,0,1,1,0,1,0,1,1,0
93,Statistika,2,0,1,0,1,0,0,1,1,1,1,0,1
94,Statistika,2,0,1,0,1,0,1,0,0,0,1,1,1
95,Matematika,2,1,1,1,1,0,0,0,1,0,1,1,1
96,Statistika,6,0,0,1,1,0,1,0,1,0,1,1,1
97,Biologi,2,0,1,0,0,0,0,1,1,0,0,0,0
98,Fisika,3,1,1,1,1,1,1,1,1,0,1,1,0
99,Fisika,1,0,0,1,1,0,0,1,1,1,0,1,1
100,Matematika,7,0,1,1,0,0,0,1,1,0,0,1,0
101,Kimia,4,1,0,0,1,1,1,0,1,0,1,0,0
102,Matematika,2,1,1,1,1,0,1,0,1,1,1,0,1
103,Kimia,5,1,0,0,1,1,0,1,1,1,0,1,1
104,Fisika,2,1,0,1,1,1,0,0,0,0,1,1,1
105,Matematika,5,0,0,0,1,1,1,0,1,0,0,0,0
106,Biologi,3,0,1,0,1,1,1,0,0,0,0,1,0
107,Statistika,5,1,0,0,0,1,1,0,0,1,0,0,1
108,Kimia,8,0,1,1,0,0,1,1,1,0,1,1,1
109,Statistika,4,0,0,0,1,0,1,0,1,1,1,1,1
110,Statistika,1,0,0,1,0,0,1,1,1,1,0,1,1
111,Matematika,5,0,1,1,0,1,0,0,0,1,1,1,1
112,Statistika,5,0,1,0,0,0,0,1,1,0,0,0,1
113,Biologi,1,0,0,1,0,1,1,0,0,0,1,1,0
114,Statistika,4,0,1,0,1,1,1,0,1,0,0,0,1
115,Matematika,2,0,1,1,1,1,0,1,1,0,0,1,1
116,Biologi,5,1,1,0,0,1,0,1,1,1,1,1,1
117,Fisika,1,1,0,1,0,0,1,0,1,1,0,1,0
118,Statistika,8,1,0,1,0,1,1,0,1,1,0,0,1
119,Matematika,8,1,1,1,1,1,0,0,1,1,1,1,0
120,Fisika,3,0,0,1,1,0,0,0,0,0,1,0,1
121,Fisika,1,0,1,0,0,0,0,0,0,0,0,0,0
122,Kimia,3,1,1,1,1,1,0,0,1,0,0,1,1
123,Biologi,8,1,1,1,1,1,0,0,1,1,0,0,0
124,Statistika,4,1,1,1,1,1,0,0,0,1,1,1,0
125,Matematika,2,0,1,0,1,1,1,1,1,1,0,0,0
126,Kimia,1,0,0,1,0,1,0,1,0,0,1,0,1
127,Biologi,7,0,1,1,1,1,1,1,1,0,1,1,0
128,Kimia,8,0,0,1,0,0,1,0,1,1,0,1,0
129,Biologi,8,1,0,0,1,0,0,0,1,0,0,0,1
130,Biologi,7,1,1,1,1,0,1,1,1,1,0,1,0
131,Statistika,6,0,1,0,1,1,0,0,0,1,0,1,1
132,Biologi,8,1,1,1,1,1,1,0,0,1,1,1,1
133,Kimia,5,1,1,0,0,1,0,1,1,0,0,0,1
134,Biologi,4,0,0,1,1,0,1,1,1,0,0,1,0
135,Statistika,1,0,0,1,1,1,1,1,0,0,1,1,1
136,Statistika,7,0,1,0,1,1,0,0,1,0,0,1,0
137,Kimia,5,0,0,1,0,1,0,0,0,0,1,0,0
138,Fisika,7,0,0,0,0,1,1,1,1,1,0,1,0
139,Fisika,1,0,0,1,0,0,1,0,1,1,1,1,1
140,Biologi,3,0,0,1,1,1,0,1,0,0,1,1,0
141,Matematika,1,0,0,1,1,0,1,1,0,0,1,0,1
142,Biologi,6,1,0,1,0,0,0,1,1,0,1,1,1
143,Kimia,1,0,0,1,1,0,1,0,1,0,0,1,0
144,Kimia,1,1,0,0,1,1,0,0,1,1,0,0,0
145,Kimia,6,0,1,0,1,1,1,1,1,0,1,0,1
146,Kimia,4,1,0,1,1,1,0,1,1,0,1,1,1
147,Kimia,8,0,0,1,1,1,0,1,1,0,0,0,1
148,Statistika,1,0,1,1,1,1,0,0,1,1,0,1,0
149,Fisika,6,1,0,1,0,1,0,0,0,1,0,1,0
150,Kimia,5,1,1,0,1,0,1,1,0,0,0,1,0
151,Matematika,3,1,1,1,1,0,0,1,0,1,0,0,0
152,Matematika,3,0,0,0,1,0,1,1,1,1,1,0,0
153,Matematika,1,0,0,1,1,0,0,0,0,1,0,1,1
154,Matematika,4,1,1,0,1,0,0,1,1,0,0,0,0
155,Statistika,4,1,1,0,0,0,0,1,1,1,1,1,0
156,Matematika,5,1,0,0,0,0,0,1,1,1,1,0,1
157,Kimia,1,1,1,0,0,1,0,0,0,1,1,0,1
158,Biologi,3,0,0,1,0,0,0,0,0,1,1,0,0
159,Matematika,4,1,1,0,1,0,0,1,0,1,0,1,1
160,Statistika,1,0,0,0,1,0,0,0,0,0,1,1,0
161,Statistika,7,0,1,0,0,1,1,0,0,1,1,0,0
162,Matematika,4,0,1,0,0,0,1,1,1,1,0,0,0
163,Biologi,6,1,1,0,1,0,0,0,1,1,1,0,1
164,Matematika,7,0,1,0,0,1,0,1,1,0,1,1,0
165,Statistika,8,0,0,1,1,0,1,0,1,1,0,0,0
166,Fisika,4,1,0,1,1,0,1,1,0,1,0,1,0
167,Kimia,3,0,0,1,1,0,1,1,1,0,0,1,1
168,Statistika,2,1,0,0,0,0,0,0,1,1,0,1,0
169,Matematika,7,0,1,0,0,0,1,0,0,1,0,0,0
170,Kimia,8,0,0,1,1,0,1,0,1,1,1,1,0
171,Matematika,5,1,0,1,1,1,1,0,0,0,0,0,0
172,Matematika,5,0,1,0,0,1,1,1,1,0,1,0,1
173,Fisika,3,0,1,0,1,1,0,1,1,1,1,1,1
174,Kimia,4,0,1,0,0,0,0,0,0,0,1,1,0
175,Kimia,1,0,1,0,1,1,1,0,1,1,1,0,0
176,Fisika,4,1,0,0,0,0,1,0,1,0,0,0,0
177,Statistika,3,0,0,1,1,0,0,1,1,1,0,1,0
178,Matematika,5,1,1,1,0,1,0,0,0,0,1,0,0
179,Biologi,4,0,1,1,0,0,0,1,1,1,1,1,1
180,Matematika,5,1,0,1,0,0,0,1,0,0,1,1,1
181,Matematika,7,1,1,1,0,1,1,1,0,0,0,0,1
182,Statistika,8,1,0,1,1,1,1,0,0,0,1,0,1
183,Matematika,1,0,0,1,1,0,0,1,1,0,0,0,1
184,Fisika,7,0,1,0,0,1,0,0,1,1,1,1,1
185,Fisika,5,0,1,0,0,1,0,0,1,1,1,1,0
186,Kimia,5,1,1,0,1,0,0,1,1,0,0,0,1
187,Biologi,2,1,0,1,1,0,1,1,0,1,1,1,0
188,Matematika,2,1,1,1,1,0,1,0,0,0,0,1,0
189,Matematika,7,0,0,0,0,0,1,0,0,1,0,0,1
190,Statistika,6,1,0,1,0,0,0,0,0,1,1,1,0
191,Fisika,7,1,1,0,1,1,1,0,0,1,1,0,0
192,Biologi,2,0,1,1,0,1,1,0,0,0,1,0,1
193,Kimia,5,0,1,0,1,1,1,0,0,1,1,0,0
194,Fisika,3,1,1,0,0,0,0,0,0,0,0,0,0
195,Kimia,7,1,1,0,1,1,0,1,0,1,1,0,1
196,Statistika,5,1,1,0,0,1,0,1,0,0,1,0,1
197,Statistika,3,0,0,0,1,1,0,1,1,1,0,1,1
198,Matematika,3,1,0,0,0,0,0,0,1,1,1,1,0
199,Biologi,2,0,0,1,1,1,0,1,1,1,0,1,0
200,Kimia,7,0,0,1,0,0,0,1,0,0,1,0,1
201,Fisika,4,0,1,0,1,0,1,1,0,1,0,0,1
202,Statistika,1,1,0,1,1,0,0,1,1,0,0,0,1
203,Matematika,2,1,0,1,1,1,0,1,0,1,0,1,0
204,Matematika,2,1,0,0,1,1,1,1,0,0,1,1,0
205,Kimia,4,0,1,0,1,0,1,0,0,0,0,0,1
206,Statistika,1,1,0,0,1,0,1,1,0,1,0,0,0
207,Biologi,5,0,1,0,0,0,1,1,0,0,1,1,1
208,Statistika,6,1,0,1,1,0,1,1,0,0,1,0,0
209,Kimia,7,0,0,0,0,0,1,1,1,0,0,0,1
210,Kimia,6,0,1,1,0,0,0,0,0,0,0,1,1
211,Statistika,5,0,1,1,0,1,0,0,0,1,0,1,1
212,Kimia,8,0,0,0,0,0,0,1,1,1,0,0,0
213,Statistika,2,1,1,1,1,0,0,1,0,0,1,0,1
214,Fisika,1,1,1,0,1,0,0,1,0,0,1,1,1
215,Statistika,2,0,0,1,1,1,1,0,1,0,1,0,0
216,Statistika,3,1,1,0,1,1,1,0,0,0,0,0,1
217,Kimia,2,0,1,1,0,1,1,1,0,1,1,0,1
218,Kimia,2,1,1,1,0,0,0,1,0,1,1,0,1
219,Matematika,5,1,1,0,0,1,1,1,0,0,1,0,1
220,Matematika,5,1,1,1,0,0,1,0,1,0,1,1,0
221,Fisika,5,0,1,1,0,1,0,1,1,0,1,0,0
222,Matematika,6,1,1,1,0,1,1,0,0,1,1,0,0
223,Statistika,3,1,1,1,1,1,0,1,1,1,0,1,1
224,Kimia,8,0,1,1,1,1,0,0,1,0,1,1,1
225,Matematika,8,0,1,0,1,1,1,0,0,0,1,1,1
226,Matematika,5,1,1,0,1,0,0,1,1,1,1,1,0
227,Fisika,1,1,0,1,1,1,0,1,0,1,0,0,0
228,Fisika,6,1,1,0,0,0,1,0,0,0,1,1,1
229,Statistika,4,1,1,1,1,1,1,1,0,0,1,0,0
230,Kimia,1,1,0,1,1,0,0,0,0,0,0,1,0
231,Fisika,7,0,1,0,0,0,0,0,0,1,0,0,1
232,Matematika,7,0,0,0,0,0,0,0,1,0,1,1,0
233,Kimia,1,0,0,1,1,0,1,0,0,0,1,1,0
234,Kimia,5,1,1,0,0,0,0,1,0,1,1,0,0
235,Matematika,4,0,0,1,1,1,0,0,0,0,0,1,0
236,Fisika,4,1,1,0,1,0,1,0,1,1,1,1,1
237,Matematika,6,1,1,1,0,0,1,1,1,0,0,1,0
238,Kimia,4,1,1,0,0,1,0,0,1,0,0,0,0
239,Biologi,7,0,0,1,0,0,1,1,1,1,0,1,0
240,Biologi,3,1,0,0,0,1,1,0,1,0,0,0,1
241,Statistika,5,0,1,1,0,1,0,1,0,1,0,0,0
242,Matematika,4,1,1,0,1,1,0,0,1,1,0,0,1
243,Matematika,6,0,1,1,0,1,1,0,1,0,0,0,0
244,Statistika,7,0,0,1,1,0,0,0,1,1,0,1,0
245,Statistika,3,1,1,0,0,1,1,0,1,0,1,0,0
246,Statistika,2,0,1,0,1,0,0,0,0,1,0,1,1
247,Kimia,2,0,1,0,0,0,0,1,0,0,0,0,1
248,Matematika,3,1,0,1,0,1,0,1,0,1,1,0,0
249,Kimia,7,1,1,1,1,0,0,1,1,0,0,0,1
250,Statistika,6,1,1,1,1,1,0,1,0,0,1,0,1
251,Matematika,3,1,1,0,0,1,0,0,0,1,0,0,0
252,Kimia,5,1,0,0,1,1,1,0,1,1,0,0,1
253,Kimia,5,0,1,1,0,1,1,0,0,0,1,1,0
254,Statistika,2,0,1,0,0,0,1,0,1,0,1,0,1
255,Matematika,4,0,0,1,0,0,1,1,0,1,1,0,1
256,Statistika,6,1,1,0,0,1,0,1,0,1,1,0,1
257,Matematika,2,1,1,1,1,0,1,0,0,0,1,1,1
258,Biologi,4,0,0,0,0,1,0,0,1,0,0,1,0
259,Fisika,4,0,0,0,0,1,1,1,0,0,0,0,1
260,Fisika,8,1,1,1,1,1,1,1,0,1,0,0,0
261,Fisika,5,0,0,1,1,0,1,0,1,0,0,0,0
262,Statistika,7,1,1,1,0,0,1,1,0,0,1,1,1
263,Biologi,1,1,0,0,1,0,1,1,1,1,1,0,1
264,Matematika,7,1,1,0,0,0,0,0,1,0,0,0,1
265,Kimia,1,0,0,1,1,1,0,0,0,0,1,0,0
266,Matematika,3,1,1,1,1,0,1,1,1,0,1,0,1
267,Kimia,5,1,1,0,1,0,0,1,0,0,0,0,1
268,Matematika,4,1,1,0,0,0,1,1,1,0,0,1,0
269,Biologi,6,1,1,0,0,1,1,0,0,1,0,0,0
270,Kimia,1,1,0,1,0,1,0,0,1,0,0,1,0
271,Statistika,7,1,1,0,0,0,1,1,0,1,0,0,0
272,Matematika,4,0,0,0,0,0,1,1,1,1,1,0,1
273,Matematika,1,1,0,0,1,0,1,0,0,1,0,1,1
274,Kimia,1,1,0,0,0,0,1,1,0,0,0,0,1
275,Statistika,8,0,0,0,0,1,1,1,0,0,1,1,1
276,Statistika,1,1,1,1,1,1,1,1,0,0,1,1,0
277,Biologi,6,1,1,0,0,0,1,1,1,0,1,0,1
278,Statistika,5,1,0,1,1,0,0,1,0,0,0,1,0
279,Statistika,6,0,0,0,0,1,0,0,1,1,0,0,1
280,Statistika,2,0,1,1,0,0,1,1,1,0,1,1,0
281,Fisika,4,1,0,1,0,1,0,0,1,0,0,0,1
282,Biologi,5,1,0,1,0,0,1,1,0,0,0,1,0
283,Matematika,8,0,0,1,1,0,1,0,0,1,1,0,0
284,Kimia,5,1,1,0,0,0,0,1,1,0,1,1,1
285,Matematika,5,1,1,0,1,1,1,0,0,1,0,1,0
286,Biologi,7,1,0,1,0,1,1,0,0,0,0,1,1
287,Kimia,5,1,0,1,0,0,0,0,1,1,0,1,0
288,Biologi,8,0,1,1,1,0,0,0,1,1,0,1,1
289,Statistika,6,0,1,1,0,0,0,1,1,0,0,1,0
290,Kimia,5,0,0,1,1,0,0,1,0,0,0,0,0
291,Statistika,3,1,1,0,1,0,1,1,1,0,0,0,0
292,Matematika,4,0,0,0,1,0,0,0,0,0,1,0,0
293,Matematika,5,0,0,1,1,1,1,0,0,1,1,0,0
294,Kimia,4,0,1,1,0,0,0,0,1,1,1,0,0
295,Kimia,3,1,0,0,0,0,0,0,0,1,0,1,0
296,Biologi,3,1,1,1,0,1,1,1,0,1,0,0,0
297,Biologi,4,0,0,0,1,0,1,0,0,0,0,1,1
298,Statistika,1,0,0,1,1,1,0,0,1,0,0,0,1
299,Kimia,2,1,1,0,0,0,0,0,1,1,0,0,0
300,Matematika,7,0,0,0,1,1,0,0,1,0,1,1,1
301,Biologi,1,0,1,1,0,1,0,1,1,1,1,1,1
302,Biologi,1,0,0,0,1,1,1,1,0,0,1,1,0
303,Matematika,6,0,0,1,0,1,0,0,0,0,0,1,1
304,Biologi,7,0,0,1,1,0,0,0,0,1,1,0,0
305,Statistika,7,0,1,1,1,1,0,0,0,0,0,1,1
306,Kimia,1,0,0,0,0,0,1,0,0,1,0,0,0
307,Matematika,5,1,1,0,0,0,1,0,1,1,0,0,1
308,Kimia,6,0,0,0,0,0,0,1,0,1,1,0,1
309,Biologi,6,1,1,1,0,1,1,1,0,1,1,0,0
310,Biologi,3,1,0,1,0,0,0,1,0,1,0,0,0
311,Matematika,8,0,1,1,1,1,0,0,0,1,1,1,1
312,Statistika,7,1,1,1,1,1,1,0,1,0,1,1,0
313,Fisika,1,0,1,1,1,1,1,1,0,0,0,0,1
314,Matematika,3,1,1,1,0,1,1,1,0,1,0,0,1
315,Fisika,4,0,1,0,1,0,1,1,1,0,0,0,1
316,Fisika,2,0,1,1,1,0,0,0,0,0,1,0,1
317,Statistika,8,0,0,0,0,0,1,1,0,0,0,1,1
318,Fisika,8,1,0,1,1,0,0,0,0,1,1,0,1
319,Fisika,8,1,1,1,1,0,1,1,1,1,0,1,0
320,Statistika,6,1,1,1,0,0,0,1,1,0,1,0,0
321,Fisika,4,0,1,0,0,0,1,1,1,1,0,1,0
322,Fisika,8,1,0,0,0,1,0,0,0,1,1,0,1
323,Fisika,4,0,0,0,0,1,0,1,1,1,1,1,1
324,Matematika,5,1,0,0,1,0,1,0,0,1,1,0,0
325,Matematika,8,0,1,0,1,1,0,0,0,1,1,1,1
326,Matematika,2,0,0,1,1,0,1,0,0,0,0,0,0
327,Statistika,4,0,0,1,0,0,0,1,0,1,1,0,0
328,Biologi,4,0,0,0,0,1,0,0,1,0,0,1,1
329,Fisika,2,1,0,0,1,0,0,0,1,1,0,1,0
330,Fisika,8,0,1,0,1,0,0,1,1,1,1,1,1
331,Statistika,2,1,0,1,0,1,1,0,1,0,0,1,0
332,Fisika,4,0,1,1,1,1,0,1,1,0,1,1,1
333,Matematika,2,1,0,1,1,1,1,0,0,1,1,0,1
334,Biologi,4,0,0,0,0,1,1,0,0,0,0,0,0
335,Kimia,4,0,0,1,0,1,0,1,1,1,1,0,1
336,Fisika,5,1,0,1,1,0,1,0,0,0,0,1,1
337,Matematika,1,0,0,0,0,0,1,0,1,0,0,0,0
338,Kimia,4,0,0,1,0,0,1,1,0,1,0,0,0
339,Biologi,8,1,1,0,0,0,0,1,0,1,1,1,1
340,Kimia,3,1,0,1,0,1,0,1,0,1,1,1,0
341,Matematika,6,0,1,0,1,0,1,0,0,0,1,0,0
342,Kimia,7,0,1,1,1,1,1,0,0,1,1,0,0
343,Statistika,1,1,1,1,0,1,1,1,1,1,0,0,0
344,Kimia,1,0,0,1,1,1,0,1,0,1,0,0,1
345,Fisika,1,0,0,1,1,1,1,1,1,1,1,0,0
346,Fisika,5,0,0,0,1,1,0,1,0,1,0,1,0
347,Statistika,4,1,0,0,0,0,0,1,0,0,0,1,0
348,Matematika,5,1,1,0,0,1,0,0,0,0,0,1,0
349,Fisika,4,0,0,0,1,0,1,0,1,1,1,0,1
350,Biologi,8,0,0,1,1,1,0,1,0,0,1,1,0
351,Fisika,5,0,1,0,0,0,0,0,1,1,0,0,1
352,Fisika,5,1,1,1,0,1,1,0,0,0,0,0,0
353,Matematika,6,0,1,1,0,1,0,1,1,1,1,1,0
354,Kimia,3,0,0,1,1,0,0,1,0,1,1,0,1
355,Fisika,5,1,0,0,1,0,0,0,1,0,0,0,0
356,Statistika,6,0,1,1,0,1,1,0,1,0,1,1,1
357,Kimia,2,1,0,1,0,0,1,0,1,0,0,0,1
358,Biologi,3,0,0,0,1,1,0,1,0,1,0,1,0
359,Matematika,8,0,0,1,1,1,1,1,0,1,1,0,0
360,Biologi,5,0,0,1,0,0,1,0,0,0,1,1,1
361,Kimia,7,1,0,0,1,0,0,0,1,1,0,0,0
362,Kimia,1,1,0,1,1,0,1,1,1,0,1,0,0
363,Kimia,2,1,1,0,0,1,1,0,1,0,1,1,0
364,Biologi,2,0,1,0,1,0,1,1,0,1,1,0,0
365,Kimia,8,1,1,0,0,1,0,1,0,0,1,0,1
366,Biologi,6,0,0,0,1,0,1,0,0,0,1,0,0
367,Kimia,2,0,0,0,1,1,1,1,1,0,0,0,0
368,Statistika,3,1,0,0,1,1,0,0,1,0,0,0,1
369,Kimia,5,0,1,1,1,1,0,0,1,0,0,0,0
370,Biologi,5,0,1,1,0,0,0,1,0,0,0,1,0
371,Fisika,7,0,0,1,1,1,0,0,1,1,1,0,1
372,Kimia,8,0,1,0,1,1,1,1,1,0,1,0,0
373,Fisika,1,0,0,0,0,1,0,1,0,1,0,0,1
374,Statistika,6,1,1,1,1,1,0,0,1,0,0,0,1
375,Matematika,1,0,1,0,1,0,1,0,1,0,0,1,0
376,Statistika,2,1,1,0,0,0,0,0,1,1,0,0,1
377,Kimia,8,1,1,1,1,1,1,0,1,1,1,1,0
378,Fisika,7,0,1,0,1,0,0,0,0,0,0,0,0
379,Fisika,1,0,0,1,0,1,0,0,0,1,1,1,1
380,Biologi,3,0,1,1,1,1,0,0,1,1,1,1,1
381,Fisika,5,1,0,0,0,0,0,1,0,1,0,1,0
382,Biologi,2,0,1,0,0,1,0,1,1,1,0,1,1
383,Matematika,7,1,1,1,0,0,1,1,1,0,0,1,1
384,Kimia,1,0,1,0,1,1,1,0,1,0,1,0,1
385,Biologi,6,1,0,0,1,1,0,0,1,1,1,0,1
386,Matematika,3,0,1,1,0,1,1,1,0,0,0,1,0
387,Fisika,3,0,1,0,0,0,1,0,0,1,1,0,0
388,Fisika,1,1,1,1,1,0,1,0,0,0,1,0,1
389,Matematika,5,1,0,1,0,1,0,1,0,0,0,1,0
390,Fisika,1,0,0,0,1,1,0,1,0,1,0,0,1
391,Matematika,2,1,0,0,1,1,0,1,0,0,1,1,0
392,Biologi,1,0,0,0,1,0,1,0,1,1,1,1,0
393,Biologi,3,1,1,0,1,0,1,1,1,1,1,1,0
394,Matematika,7,1,0,0,0,0,0,1,0,1,1,1,1
395,Biologi,1,0,1,1,1,1,0,1,0,1,1,0,0
396,Biologi,5,0,0,0,1,0,1,1,1,1,0,0,1
397,Biologi,8,0,0,1,1,0,1,1,0,1,1,0,0
398,Statistika,7,1,1,1,0,1,1,1,0,1,1,0,0
399,Kimia,6,1,1,1,1,0,1,0,0,0,1,1,0
400,Fisika,4,0,0,1,0,1,0,1,1,0,0,1,1
